sequencenum,timestamp,context,event,detail,timestampint,contextinint,contextint,contextoutint,eventint,eventoffset,eventsize,eventdata
4771,3:24.859 703 688,"SysTick","ISR Exit","Returns to Idle",3277755259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17380,3,03 81 04 
4772,3:24.860 671 688,"SysTick","ISR Enter","Runs for 32.063 us",3277770747,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17383,4,02 0F 80 79 
4773,3:24.860 703 750,"SysTick","ISR Exit","Returns to Idle",3277771260,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17387,3,03 81 04 
4774,3:24.861 671 688,"SysTick","ISR Enter","Runs for 32.063 us",3277786747,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17390,4,02 0F FF 78 
4775,3:24.861 703 750,"SysTick","ISR Exit","Returns to Idle",3277787260,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17394,3,03 81 04 
4776,3:24.862 671 688,"SysTick","ISR Enter","Runs for 32.063 us",3277802747,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17397,4,02 0F FF 78 
4777,3:24.862 703 750,"SysTick","ISR Exit","Returns to Idle",3277803260,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17401,3,03 81 04 
4778,3:24.863 671 625,"SysTick","ISR Enter","Runs for 34.063 us",3277818746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17404,4,02 0F FE 78 
4779,3:24.863 705 688,"SysTick","ISR Exit","Returns to Idle",3277819291,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17408,3,03 A1 04 
4780,3:24.864 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3277834746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17411,4,02 0F DF 78 
4781,3:24.864 703 688,"SysTick","ISR Exit","Returns to Idle",3277835259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17415,3,03 81 04 
4782,3:24.865 671 625,"SysTick","ISR Enter","Runs for 32.000 us",3277850746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17418,4,02 0F FF 78 
4783,3:24.865 703 625,"SysTick","ISR Exit","Returns to Idle",3277851258,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17422,3,03 80 04 
4784,3:24.866 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3277866746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17425,4,02 0F 80 79 
4785,3:24.866 703 688,"SysTick","ISR Exit","Returns to Idle",3277867259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17429,3,03 81 04 
4786,3:24.867 671 625,"SysTick","ISR Enter","Runs for 32.125 us",3277882746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17432,4,02 0F FF 78 
4787,3:24.867 703 750,"SysTick","ISR Exit","Returns to Idle",3277883260,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17436,3,03 82 04 
4788,3:24.868 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3277898746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17439,4,02 0F FE 78 
4789,3:24.868 703 688,"SysTick","ISR Exit","Returns to Idle",3277899259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17443,3,03 81 04 
4790,3:24.869 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3277914746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17446,4,02 0F FF 78 
4791,3:24.869 703 688,"SysTick","ISR Exit","Returns to Idle",3277915259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17450,3,03 81 04 
4792,3:24.870 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3277930746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17453,4,02 0F FF 78 
4793,3:24.870 703 688,"SysTick","ISR Exit","Returns to Idle",3277931259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17457,3,03 81 04 
4794,3:24.871 671 625,"SysTick","ISR Enter","Runs for 32.125 us",3277946746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17460,4,02 0F FF 78 
4795,3:24.871 703 750,"SysTick","ISR Exit","Returns to Idle",3277947260,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17464,3,03 82 04 
4796,3:24.872 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3277962746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17467,4,02 0F FE 78 
4797,3:24.872 703 688,"SysTick","ISR Exit","Returns to Idle",3277963259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17471,3,03 81 04 
4798,3:24.873 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3277978746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17474,4,02 0F FF 78 
4799,3:24.873 703 688,"SysTick","ISR Exit","Returns to Idle",3277979259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17478,3,03 81 04 
4800,3:24.874 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3277994746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17481,4,02 0F FF 78 
4801,3:24.874 703 688,"SysTick","ISR Exit","Returns to Idle",3277995259,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17485,3,03 81 04 
4802,3:24.875 671 688,"SysTick","ISR Enter","Runs for 32.125 us",3278010747,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17488,4,02 0F 80 79 
4803,3:24.875 703 813,"SysTick","ISR Exit","Returns to Idle",3278011261,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17492,3,03 82 04 
4804,3:24.876 671 563,"SysTick","ISR Enter","Runs for 32.063 us",3278026745,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17495,4,02 0F FC 78 
4805,3:24.876 703 625,"SysTick","ISR Exit","Returns to Idle",3278027258,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,17499,3,03 81 04 
4806,3:24.877 671 625,"SysTick","ISR Enter","Runs for 32.063 us",3278042746,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,17502,4,02 0F 80 79 
